1	1	Create Account	Set up new account for the Direct to customer digital policy.	HIGH	HIGH	1.0								API that can be consumed by an application or other client internally while issuing a new business policy.			Internal	
2	1	Create Submission	Set up party information for the Direct to customer digital policy.	HIGH	HIGH	1.0								API that can be consumed by an application or other client internally while issuing a new business policy.			Internal	
3	1	Get Account Details API	Get party & contact information for the Direct to customer digital policy.	HIGH	HIGH	1.0								API that can be consumed by an application or other client internally to get the Account and Submission details.			Internal	
4	2	Get Renewal Shell	Get policies by Account Name that are ready for renewal based on the Submission renewal Shell Indicators.	MEDIUM	HIGH	1.0								API that can be consumed by an application or other client internally to get upcoming renewal shells by Account Name.			Internal	
5	2	Get Non Renew Indicator	Get policies by Account Name that have marked as Non-Renew.	HIGH	HIGH	1.0								API that can be consumed by an application or other client internally to get non renew indicators on policies by account name.			Internal	
6	3	Get Digital Policy Details	Get all digital policies by Account Name.	HIGH	HIGH	1.0								API that can be consumed by an application or other client both internally and externaly to get all the digital policies by Account Name.			Internal and External	
7	3	Get Quote-Cancel	Get a Cancel Quote, this API provides an estimated cancel refund without issuing a cancel within the policy system. Policy is still active however provides a call to rate a cancel quote without cancelling the actual policy.	HIGH	LOW	1.0								API that can be consumed by an application or other clients internally or externally to get a Cancel Quote, this API provides an estimated cancel refund without issuing a cancel within the policy system. Policy is still active however provides a call to rate a cancel quote without cancelling the actual policy.			Extrenal & Internal	
8	3	Get Quote-Endorsement	Get an Endorsement Quote. This API provides an estimated endorsement premium without issuing an endorsement within the policy system. Policy coverages are not changed at this point of time, however provides a call to rate an endorsement quote without changing the selected coverages on the actual policy.	MEDIUM	LOW	1.0								API that can be consumed by an application or other clients internally or externally to get an Endorsement Quote, this API provides an estimated endorsement premium without issuing an endorsement within the policy system. Policy coverages are  not changed at this point of time, however provides a call to rate an endorsement quote without changing the selected coverages on the actual policy.			Extrenal & Internal	
9	3	Policy Issue-NBS	Issue a new business digital policy through this service.	HIGH	LOW	1.0								API that can be consumed by an Digital Application internally or externally to issue a new business digital policy.			Extrenal & Internal	
10	3	Policy Issue-Cancel By Insured	Service to cancel an active digital policy.	HIGH	HIGH	1.0								API that can be consumed by an Digital Application internally or externally to cancel an active digital policy.			Extrenal & Internal	
